id,name,População Total,homicidios,rate
1,Aerolândia,11.360,17,150
2,Aeroporto,8.618,2,023
3,José de Alencar,16.003,20,125
4,Aldeota,42.361,8,019
5,Alto da Balança,12.814,10,078
6,Álvaro Weyne,23.690,21,089
7,Amadeu Furtado,11.703,0,000
8,Ancuri,20.070,18,090
9,Antônio Bezerra,25.846,16,062
10,Autran Nunes,21.208,18,085
11,Bairro de Lourdes,3.370,0,000
12,Barra do Ceará,72.423,70,097
13,Barroso,29.847,45,151
14,Bela Vista,16.754,17,101
15,Benfica,12.954,8,062
16,Bom Futuro,6.405,0,000
17,Bom Jardim,37.758,53,140
18,Bonsucesso,41.198,25,061
19,Cais do Porto,22.382,19,085
20,Cajazeiras,14.478,11,076
21,Cambeba,7.625,4,052
22,Canindezinho,41.202,23,056
23,Carlito Pamplona,29.076,17,058
24,Castelão,12.247,8,065
25,Centro,28.538,30,105
26,Cidade 2000,8.272,5,060
27,Cidade dos Funcionários,18.256,9,049
28,Coaçu,7.188,0,000
29,Cocó,20.492,1,005
30,Conjunto Ceará,42.894,13,030
31,Conjunto Esperança,16.405,15,091
32,Conjunto Palmeiras,36.599,46,126
33,Couto Fernandes,5.260,4,076
34,Cristo Redentor,26.717,17,064
35,Curió,7.636,11,144
36,Damas,10.719,2,019
37,Demócrito Rocha,10.994,5,045
38,Dendê,5.637,5,089
39,Dias Macedo,12.111,10,083
40,Dionísio Torres,15.634,3,019
41,Dom Lustosa,13.147,4,030
42,Dunas,1.447,3,207
43,Edson Queiroz,22.210,24,108
44,Ellery,7.863,6,076
45,Luciano Cavalcante,15.543,1,006
46,Farias Brito,12.063,1,008
47,Fátima,23.309,7,030
48,Floresta,28.896,10,035
49,Genibaú,40.336,37,092
50,Gentilândia,12.954,8,062
51,Granja Lisboa,52.042,32,061
52,Granja Portugal,39.651,26,066
53,Guajeru,6.668,0,000
54,Guararapes,5.266,2,038
55,Henrique Jorge,26.994,6,022
56,Itaoca,12.477,10,080
57,Itaperi,22.563,8,035
58,Jacarecanga,14.204,11,077
59,Jangurussu,50.479,57,113
60,Jardim América,12.264,8,065
61,Jardim Cearense,10.103,1,010
62,Jardim das Oliveiras,29.571,31,105
63,Jardim Guanabara,14.919,6,040
64,Jardim Iracema,23.184,29,125
65,João XXIII,18.398,10,054
66,Joaquim Távora,23.450,4,017
67,Jóquei Clube,19.331,7,036
68,José Bonifácio,8.848,3,034
69,Lagoa Redonda,27.949,13,047
70,Maraponga,10.155,12,118
71,Mata Galinha,12.247,8,065
72,Meireles,36.982,2,005
73,Messejana,41.689,46,110
74,Mondubim,76.044,47,062
75,Monte Castelo,13.215,12,091
76,Montese,25.970,4,015
77,Moura Brasil,3.765,6,159
78,Mucuripe,13.747,10,073
79,Padre Andrade,12.936,6,046
80,Panamericano,8.815,7,079
81,Papicu,18.370,11,060
82,Parangaba,30.947,11,036
83,Parque Araxá,6.715,0,000
84,Parque Dois Irmãos,27.236,14,051
85,Parque Iracema,8.409,2,024
86,Parque Manibura,7.529,0,000
87,Parque Presidente Vargas,7.192,9,125
88,Parque Santa Maria,12.954,8,062
89,Parque Santa Rosa,12.790,8,063
90,Parque São José,10.486,17,162
91,Parquelândia,14.432,6,042
92,Parreão,11.072,0,000
93,Passaré,50.940,35,069
94,Paupina,14.665,12,082
95,Pedras,1.342,1,075
96,Pici,42.494,23,054
97,Pirambu,17.775,38,214
98,Planalto Ayrton Senna,39.446,30,076
99,Praia de Iracema,3.130,11,351
100,Praia do Futuro,18.587,24,129
101,Prefeito José Walter,33.427,25,075
102,Presidente Kennedy,23.004,2,009
103,Quintino Cunha,47.277,36,076
104,Rodolfo Teófilo,19.114,4,021
105,Sabiaguaba,2.117,9,425
106,Salinas,4.298,0,000
107,São Bento,11.964,0,000
108,São Gerardo,14.505,3,021
109,São João do Tauape,27.598,24,087
110,Sapiranga,32.158,13,040
111,Serrinha,28.770,21,073
112,Siqueira,33.628,30,089
113,Varjota,8.421,2,024
114,Vicente Pinzón,45.518,34,075
115,Vila Manuel Sátiro,37.952,9,024
116,Vila Pery,20.645,6,029
117,Vila União,15.378,10,065
118,Vila Velha,61.617,31,050
200,Bairro não identificado,,6,
